Borrower1|ID1|Author1|Title1|ISBN1 
Borrower2|ID2|Author2|Title2|ISBN2 
Borrower3|ID3|Author3|Title3|ISBN3 
Borrower8|ID8|Author8|Title8|ISBN8 
Borrower9|ID9|Author9|Title9|ISBN9 
Borrower10|ID10|Author10|Title10|ISBN10 
Borrower11|ID11|Author11|Title11|ISBN11 
Borrower12|ID12|Author12|Title12|ISBN12 
Borrower13|ID13|Author13|Title13|ISBN13 
Borrower14|ID14|Author14|Title14|ISBN14 
Borrower15|ID15|Author15|Title15|ISBN15 
Borrower16|ID16|Author16|Title16|ISBN16 
Borrower17|ID17|Author17|Title17|ISBN17 
Borrower18|ID18|Author18|Title18|ISBN18 
Borrower19|ID19|Author19|Title19|ISBN19 
Borrower20|ID20|Author20|Title20|ISBN20 
Borrower21|ID21|Author21|Title21|ISBN21 
Borrower22|ID22|Author22|Title22|ISBN22 
Borrower23|ID23|Author23|Title23|ISBN23 
Borrower24|ID24|Author24|Title24|ISBN24 
Borrower25|ID25|Author25|Title25|ISBN25 
Borrower26|ID26|Author26|Title26|ISBN26 
Borrower27|ID27|Author27|Title27|ISBN27 
Borrower28|ID28|Author28|Title28|ISBN28 
Borrower36|ID36|Author36|Title36|ISBN36 
Borrower37|ID37|Author37|Title37|ISBN37 
Borrower38|ID38|Author38|Title38|ISBN38 
Borrower39|ID39|Author39|Title39|ISBN39 
try|try|Title0|Author0|ISBN0|
